"Trial","Osm","Cu","H2S","Anoxia","Dead","Alive"
2,32,66.6,0.1,1,126,14
2,32,66.6,0.32,0,238,0
2,32,66.6,0.32,1,126,0
2,32,133.3,0,0,90,1
2,32,133.3,0,1,122,0
2,32,133.3,0.03,0,133,0
2,32,133.3,0.03,1,93,1
2,32,133.3,0.1,0,102,0
2,32,133.3,0.1,1,149,0
2,32,133.3,0.32,0,159,0
2,32,133.3,0.32,1,222,0
2,41.6,0,0,0,0,95
2,41.6,0,0,1,0,99
2,41.6,0,0.03,0,14,74
2,41.6,0,0.03,1,8,67
2,41.6,0,0.1,0,1,93
2,41.6,0,0.1,1,5,109
2,41.6,0,0.32,0,3,78
2,41.6,0,0.32,1,13,57
2,41.6,33.3,0,0,49,69
2,41.6,33.3,0,1,96,33
2,41.6,33.3,0.03,0,140,0
2,41.6,33.3,0.03,1,13,66
2,41.6,33.3,0.1,0,118,0
2,41.6,33.3,0.1,1,41,79
2,41.6,33.3,0.32,0,235,0
2,41.6,33.3,0.32,1,168,0
2,41.6,66.6,0,0,101,29
2,41.6,66.6,0,1,153,0
2,41.6,66.6,0.03,0,159,0
2,41.6,66.6,0.03,1,47,12
2,41.6,66.6,0.1,0,153,0
2,41.6,66.6,0.1,1,108,26
2,41.6,66.6,0.32,0,159,0
2,41.6,66.6,0.32,1,160,0
2,41.6,133.3,0,0,97,0
2,41.6,133.3,0,1,73,0
2,41.6,133.3,0.03,0,121,0
2,41.6,133.3,0.03,1,114,4
2,41.6,133.3,0.1,0,226,0
2,41.6,133.3,0.1,1,112,0
2,41.6,133.3,0.32,0,220,0
2,41.6,133.3,0.32,1,264,0
2,51.2,0,0,0,1,111
2,51.2,0,0,1,0,117
2,51.2,0,0.03,0,11,49
2,51.2,0,0.03,1,2,71
2,51.2,0,0.1,0,4,47
2,51.2,0,0.1,1,2,172
2,51.2,0,0.32,0,14,61
2,51.2,0,0.32,1,5,43
2,51.2,33.3,0,0,43,68
2,51.2,33.3,0,1,91,21
2,51.2,33.3,0.03,0,106,0
2,51.2,33.3,0.03,1,21,64
2,51.2,33.3,0.1,0,98,0
2,51.2,33.3,0.1,1,86,6
2,51.2,33.3,0.32,0,218,0
2,51.2,33.3,0.32,1,217,1
2,51.2,66.6,0,0,68,20
2,51.2,66.6,0,1,68,1
2,51.2,66.6,0.03,0,140,0
2,51.2,66.6,0.03,1,83,5
2,51.2,66.6,0.1,0,103,0
2,51.2,66.6,0.1,1,123,10
2,51.2,66.6,0.32,0,244,0
2,51.2,66.6,0.32,1,133,0
2,51.2,133.3,0,0,76,0
2,51.2,133.3,0,1,93,0
2,51.2,133.3,0.03,0,112,0
2,51.2,133.3,0.03,1,152,1
2,51.2,133.3,0.1,0,166,0
2,51.2,133.3,0.1,1,138,0
2,51.2,133.3,0.32,0,300,0
2,51.2,133.3,0.32,1,250,1
3,12.8,0,0,0,11,62
3,12.8,0,0,1,0,45
3,12.8,0,0.03,0,1,106
3,12.8,0,0.03,1,10,44
3,12.8,0,0.1,0,0,59
3,12.8,0,0.1,1,6,35
3,12.8,0,0.32,0,170,0
3,12.8,0,0.32,1,9,13
3,12.8,33.3,0,0,1,91
3,12.8,33.3,0,1,1,87
3,12.8,33.3,0.03,0,4,101
3,12.8,33.3,0.03,1,0,113
3,12.8,33.3,0.1,0,110,0
3,12.8,33.3,0.1,1,70,5
3,12.8,33.3,0.32,0,372,0
3,12.8,33.3,0.32,1,116,0
3,12.8,66.6,0,0,0,115
3,12.8,66.6,0,1,6,78
3,12.8,66.6,0.03,0,44,48
3,12.8,66.6,0.03,1,1,89
3,12.8,66.6,0.1,0,129,0
3,12.8,66.6,0.1,1,51,0
3,12.8,66.6,0.32,0,294,0
3,12.8,66.6,0.32,1,108,0
3,12.8,133.3,0,0,0,166
3,12.8,133.3,0,1,40,0
3,12.8,133.3,0.03,0,113,0
3,12.8,133.3,0.03,1,50,3
3,12.8,133.3,0.1,0,136,0
3,12.8,133.3,0.1,1,72,0
3,12.8,133.3,0.32,0,385,0
3,12.8,133.3,0.32,1,55,0
3,22.4,0,0,0,54,56
3,22.4,0,0,1,9,43
3,22.4,0,0.03,0,0,97
3,22.4,0,0.03,1,4,99
3,22.4,0,0.1,0,0,62
3,22.4,0,0.1,1,7,46
3,22.4,0,0.32,0,128,0
3,22.4,0,0.32,1,11,44
3,22.4,33.3,0,0,0,115
3,22.4,33.3,0,1,1,138
3,22.4,33.3,0.03,0,1,117
3,22.4,33.3,0.03,1,5,103
3,22.4,33.3,0.1,0,112,0
3,22.4,33.3,0.1,1,74,10
3,22.4,33.3,0.32,0,109,0
3,22.4,33.3,0.32,1,132,0
3,22.4,66.6,0,0,13,117
3,22.4,66.6,0,1,8,108
3,22.4,66.6,0.03,0,19,85
3,22.4,66.6,0.03,1,2,165
3,22.4,66.6,0.1,0,155,0
3,22.4,66.6,0.1,1,65,0
3,22.4,66.6,0.32,0,326,0
3,22.4,66.6,0.32,1,156,0
3,22.4,133.3,0,0,6,111
3,22.4,133.3,0,1,54,0
3,22.4,133.3,0.03,0,131,10
3,22.4,133.3,0.03,1,73,11
3,22.4,133.3,0.1,0,80,0
3,22.4,133.3,0.1,1,87,0
3,22.4,133.3,0.32,0,373,0
3,22.4,133.3,0.32,1,175,0
3,32,0,0,0,0,133
3,32,0,0,1,7,69
3,32,0,0.03,0,1,167
3,32,0,0.03,1,8,54
3,32,0,0.1,0,0,52
3,32,0,0.1,1,9,26
3,32,0,0.32,0,145,0
3,32,0,0.32,1,25,22
3,32,33.3,0,0,1,165
3,32,33.3,0,1,1,118
3,32,33.3,0.03,0,2,118
3,32,33.3,0.03,1,3,108
3,32,33.3,0.1,0,91,0
3,32,33.3,0.1,1,103,0
3,32,33.3,0.32,0,153,0
3,32,33.3,0.32,1,151,0
3,32,66.6,0,0,2,145
3,32,66.6,0,1,15,76
3,32,66.6,0.03,0,94,72
3,32,66.6,0.03,1,2,101
3,32,66.6,0.1,0,114,0
3,32,66.6,0.1,1,104,0
3,32,66.6,0.32,0,369,0
3,32,66.6,0.32,1,181,0
3,32,133.3,0,0,16,90
3,32,133.3,0,1,80,0
3,32,133.3,0.03,0,118,1
3,32,133.3,0.03,1,62,21
3,32,133.3,0.1,0,182,3
3,32,133.3,0.1,1,89,0
3,32,133.3,0.32,0,293,0
3,32,133.3,0.32,1,120,0
3,41.6,0,0,0,8,185
3,41.6,0,0,1,1,129
3,41.6,0,0.03,0,6,74
3,41.6,0,0.03,1,10,72
3,41.6,0,0.1,0,4,66
3,41.6,0,0.1,1,7,46
3,41.6,0,0.32,0,211,0
3,41.6,0,0.32,1,33,44
3,41.6,33.3,0,0,8,86
3,41.6,33.3,0,1,0,119
3,41.6,33.3,0.03,0,23,109
3,41.6,33.3,0.03,1,8,129
3,41.6,33.3,0.1,0,99,0
3,41.6,33.3,0.1,1,51,0
3,41.6,33.3,0.32,0,95,0
3,41.6,33.3,0.32,1,140,0
3,41.6,66.6,0,0,19,103
3,41.6,66.6,0,1,8,71
3,41.6,66.6,0.03,0,125,40
3,41.6,66.6,0.03,1,12,73
3,41.6,66.6,0.1,0,87,0
3,41.6,66.6,0.1,1,69,0
3,41.6,66.6,0.32,0,111,0
3,41.6,66.6,0.32,1,192,0
3,41.6,133.3,0,0,24,58
3,41.6,133.3,0,1,68,1
3,41.6,133.3,0.03,0,97,5
3,41.6,133.3,0.03,1,119,6
3,41.6,133.3,0.1,0,128,0
3,41.6,133.3,0.1,1,80,0
3,41.6,133.3,0.32,0,357,0
3,41.6,133.3,0.32,1,151,0
3,51.2,0,0,0,5,76
3,51.2,0,0,1,11,41
3,51.2,0,0.03,0,6,151
3,51.2,0,0.03,1,8,70
3,51.2,0,0.1,0,0,60
3,51.2,0,0.1,1,8,12
3,51.2,0,0.32,0,198,0
3,51.2,0,0.32,1,26,1
3,51.2,33.3,0,0,4,110
3,51.2,33.3,0,1,4,70
3,51.2,33.3,0.03,0,41,63
3,51.2,33.3,0.03,1,7,133
3,51.2,33.3,0.1,0,93,0
3,51.2,33.3,0.1,1,44,1
3,51.2,33.3,0.32,0,69,0
3,51.2,33.3,0.32,1,115,0
3,51.2,66.6,0,0,7,51
3,51.2,66.6,0,1,6,64
3,51.2,66.6,0.03,0,120,24
3,51.2,66.6,0.03,1,30,51
3,51.2,66.6,0.1,0,126,0
3,51.2,66.6,0.1,1,47,0
3,51.2,66.6,0.32,0,286,0
3,51.2,66.6,0.32,1,134,0
3,51.2,133.3,0,0,5,91
3,51.2,133.3,0,1,49,11
3,51.2,133.3,0.03,0,112,1
3,51.2,133.3,0.03,1,97,5
3,51.2,133.3,0.1,0,130,0
3,51.2,133.3,0.1,1,43,0
3,51.2,133.3,0.32,0,121,0
3,51.2,133.3,0.32,1,147,0
4,12.8,0,0,0,0,123
4,12.8,0,0,1,2,132
4,12.8,0,0.03,0,5,92
4,12.8,0,0.03,1,11,71
4,12.8,0,0.1,0,163,0
4,12.8,0,0.1,1,10,38
4,12.8,0,0.32,0,2,110
4,12.8,0,0.32,1,1,52
4,12.8,33.3,0,0,9,92
4,12.8,33.3,0,1,1,115
4,12.8,33.3,0.03,0,70,4
4,12.8,33.3,0.03,1,11,150
4,12.8,33.3,0.1,0,85,22
4,12.8,33.3,0.1,1,14,2
4,12.8,33.3,0.32,0,323,0
4,12.8,33.3,0.32,1,221,0
4,12.8,66.6,0,0,80,24
4,12.8,66.6,0,1,41,114
4,12.8,66.6,0.03,0,89,0
4,12.8,66.6,0.03,1,74,11
4,12.8,66.6,0.1,0,119,0
4,12.8,66.6,0.1,1,33,0
4,12.8,66.6,0.32,0,283,0
4,12.8,66.6,0.32,1,117,0
4,12.8,133.3,0,0,91,0
4,12.8,133.3,0,1,80,45
4,12.8,133.3,0.03,0,95,0
4,12.8,133.3,0.03,1,84,0
4,12.8,133.3,0.1,0,143,0
4,12.8,133.3,0.1,1,106,0
4,12.8,133.3,0.32,0,276,0
4,12.8,133.3,0.32,1,109,0
4,22.4,0,0,0,1,123
4,22.4,0,0,1,0,50
4,22.4,0,0.03,0,2,111
4,22.4,0,0.03,1,0,74
